ID,predicted_price
PU-1,1.6619083
PU-2,1.6947632
PU-3,2.7065969
PU-4,1.6178988
PU-5,3.8209896
PU-6,1.6489074
PU-7,1.8744572
PU-8,1.7496964
PU-9,1.2647479
PU-10,1.7030499
PU-11,1.0518287
PU-12,3.684246
PU-13,0.9823872
PU-14,1.9635075
PU-15,1.531201
PU-16,0.94770014
PU-17,3.0508623
PU-18,2.8175821
PU-19,1.0730658
PU-20,3.168591
PU-21,1.5722647
PU-22,2.0065024
PU-23,3.1095755
PU-24,1.7586627
PU-25,2.651175
PU-26,2.076772
PU-27,1.9880836
PU-28,1.6654545
PU-29,2.7840455
PU-30,1.6603012
PU-31,4.2042265
PU-32,1.2442957
PU-33,2.976928
PU-34,1.6291883
PU-35,1.7430103
PU-36,1.4895679
PU-37,1.7536403
PU-38,3.00313
PU-39,2.556465
PU-40,2.3742769
PU-41,1.8919016
PU-42,1.2651869
PU-43,1.4125822
PU-44,2.0315661
PU-45,1.8602084
PU-46,0.9798619
PU-47,1.4417439
PU-48,1.419936
PU-49,0.7397712
PU-50,2.6064894
PU-51,2.541809
PU-52,2.0967808
PU-53,2.0612013
PU-54,2.3077278
PU-55,1.0941021
PU-56,4.789943
PU-57,3.084986
PU-58,2.6012316
PU-59,1.8311113
PU-60,2.5223575
PU-61,1.2990261
PU-62,1.2697269
PU-63,1.9166006
PU-64,1.2979783
PU-65,6.20515
PU-66,2.1341505
PU-67,1.9191992
PU-68,1.0979571
PU-69,1.2219452
PU-70,2.0202105
PU-71,1.7191118
PU-72,2.5045416
PU-73,1.4873201
PU-74,2.560927
PU-75,1.7464986
PU-76,0.96351796
PU-77,2.10226
PU-78,0.8974684
PU-79,1.5482123
PU-80,1.2070055
PU-81,1.8749245
PU-82,1.3709847
PU-83,1.5811626
PU-84,2.1170013
PU-85,3.7059948
PU-86,1.0920323
PU-87,3.0171561
PU-88,1.2125928
PU-89,3.9531827
PU-90,3.5089362
PU-91,0.822702
PU-92,0.9184123
PU-93,3.1370978
PU-94,1.7369587
PU-95,1.9948081
PU-96,1.7038614
PU-97,1.4346652
PU-98,2.0940325
PU-99,1.915827
PU-100,0.92091334
PU-101,1.3043804
PU-102,1.6056803
PU-103,1.2779173
PU-104,2.7375927
PU-105,2.2640185
PU-106,1.4505547
PU-107,0.7279903
PU-108,1.4875264
PU-109,2.1358685
PU-110,1.6068562
PU-111,1.2609757
PU-112,2.3840353
PU-113,1.5966028
