lng,lat
121.3966,25.14586
121.4185,25.15906
121.4177,25.16094
119.9457,22.99463
119.5631,23.82481
121.448,25.13063
120.2539,22.62974
120.2539,22.62974
121.4444,25.19025
121.4823,25.0799
121.4887,25.08153
121.4859,25.08449
121.4822,25.076
121.4744,25.0208
119.5886,23.83376
121.4529,25.06434
120.3788,24.57643
121.4822,25.0809
121.4846,25.08364
121.477,25.06751
121.4817,25.06022
121.4808,25.08629
121.4829,25.05297
121.4816,25.06422
121.4964,25.05824
121.4975,25.05803
121.4982,25.05885
121.452,25.03961
119.5706,23.83025
121.496,25.06492
120.6869,24.12549
121.4859,25.06023
119.5432,24.0306
121.4863,25.07242
121.4871,25.0722
121.4834,25.07263
119.5659,23.85346
120.2848,22.62975
120.11,22.81517
121.4877,25.07047
121.4603,25.0081
119.5597,23.83003
121.491,25.06977
120.2848,22.62975
121.4983,25.07535
121.4993,25.07246
119.4857,23.85921
121.4896,25.06088
120.0627,22.819
121.4865,25.08845
117.4301,29.55988
120.2848,22.62975
121.5347,25.04592
121.4848,25.08983
121.4874,25.07811
121.4874,25.07811
120.2848,22.62975
119.5706,23.83025
121.4603,25.0081
119.6479,24.04713
121.3659,24.93279
120.3039,22.59269
121.3888,24.91027
121.3937,24.93969
121.4248,24.92374
121.7682,24.82675
120.3448,22.58332
121.601,23.90126
121.4604,24.98413
121.4169,24.96352
120.3625,22.58236
121.4362,24.9803
121.4638,24.9809
121.4158,24.95769
121.4119,24.95391
121.4587,24.97754
121.4486,24.98797
121.4599,24.98235
121.4663,24.98973
121.4645,24.9994
121.4624,24.99693
118.045,23.51695
119.5785,23.81637
120.3692,22.63387
121.4767,25.00374
121.4776,24.99817
121.4987,25.00931
121.5433,24.98127
120.2331,22.63377
121.5209,24.99582
120.2127,22.62973
121.473,25.0037
120.2047,23.0141
121.4461,25.09492
121.2067,25.01251
120.2753,22.7263
121.428,25.07435
120.24,22.98296
121.4332,25.08046
119.3439,23.74108
121.3966,25.14586
121.4185,25.15906
121.4177,25.16094
119.9457,22.99463
119.5631,23.82481
121.448,25.13063
120.2539,22.62974
120.2539,22.62974
121.4444,25.19025
121.4823,25.0799
121.4887,25.08153
121.4859,25.08449
121.4822,25.076
121.4744,25.0208
119.5886,23.83376
121.4529,25.06434
120.3788,24.57643
121.4822,25.0809
121.4846,25.08364
121.477,25.06751
121.4817,25.06022
121.4808,25.08629
121.4829,25.05297
121.4816,25.06422
121.4964,25.05824
121.4975,25.05803
121.4982,25.05885
121.452,25.03961
119.5706,23.83025
121.496,25.06492
120.6869,24.12549
121.4859,25.06023
119.5432,24.0306
121.4863,25.07242
121.4871,25.0722
121.4834,25.07263
119.5659,23.85346
120.2848,22.62975
120.11,22.81517
121.4877,25.07047
121.4603,25.0081
119.5597,23.83003
121.491,25.06977
120.2848,22.62975
121.4983,25.07535
121.4993,25.07246
119.4857,23.85921
121.4896,25.06088
120.0627,22.819
121.4865,25.08845
117.4301,29.55988
120.2848,22.62975
121.5347,25.04592
121.4848,25.08983
121.4874,25.07811
121.4874,25.07811
120.2848,22.62975
119.5706,23.83025
121.4603,25.0081
119.6479,24.04713
121.3659,24.93279
120.3039,22.59269
121.3888,24.91027
121.3937,24.93969
121.4248,24.92374
121.7682,24.82675
120.3448,22.58332
121.601,23.90126
121.4604,24.98413
121.4169,24.96352
120.3625,22.58236
121.4362,24.9803
121.4638,24.9809
121.4158,24.95769
121.4119,24.95391
121.4587,24.97754
121.4486,24.98797
121.4599,24.98235
121.4663,24.98973
121.4645,24.9994
121.4624,24.99693
118.045,23.51695
119.5785,23.81637
120.3692,22.63387
121.4767,25.00374
121.4776,24.99817
121.4987,25.00931
121.5433,24.98127
120.2331,22.63377
121.5209,24.99582
120.2127,22.62973
121.473,25.0037
120.2047,23.0141
121.4461,25.09492
121.2067,25.01251
120.2753,22.7263
121.428,25.07435
120.24,22.98296
121.4332,25.08046
119.3439,23.74108
120.9731861,24.80145798
120.7068179,24.63842843
121.5017438,25.01144418
121.2362409,24.97127728
120.0840781,23.44126066
120.0840781,23.44126066
120.3111192,24.56175941
121.5021226,25.00378614
121.5157019,24.99921407
121.4051731,37.53293997
121.5147986,24.99639828
121.581684,25.05941326
120.0840781,23.44126066
121.634783,25.06857677
120.0840781,23.44126066
121.6529089,25.05726947
121.6367261,25.07602897
121.5868169,25.08669538
120.5009253,24.56947222
120.0840781,23.44126066
120.0840781,23.44126066
121.6715187,25.07955968
120.0840781,23.44126066
121.7078637,25.06239327
121.468401,25.03022577
120.0840781,23.44126066
120.0840781,23.44126066
120.0840781,23.44126066
121.4690863,25.01939357
120.0840781,23.44126066
120.0840781,23.44126066
120.8610627,24.85736242
121.5346321,24.97738897
121.4746419,25.01217277
120.0840781,23.44126066
120.0840781,23.44126066
121.4736009,25.03451548
121.4485837,25.01646297
121.4651013,25.03290768
120.0840781,23.44126066
120.0840781,23.44126066
121.4602891,25.00809997
120.0840781,23.44126066
120.0840781,23.44126066
120.0840781,23.44126066
117.4311271,23.37415948
120.8820614,24.91133905
121.4601528,24.99172772
121.4627029,24.99277777
120.0840781,23.44126066
121.4362184,25.02830562
121.4265046,24.99324797
120.4941161,23.84047876
119.6252077,24.00665994
121.479001,25.01537847
121.3647757,24.95079418
120.0840781,23.44126066
121.4293654,24.98975948
119.5567369,23.82187212
121.4458925,25.01465238
121.3581215,25.06127799
120.4147527,24.47010419
120.0840781,23.44126066
120.0840781,23.44126066
121.3533877,25.07007938
